contract_reference,status,start_date,end_date,next_contract_payment_due_date,cumulative_amount_paid,expected_cumulative_amount_paid,nominal_contract_value,deposit_amount,birthdate,gender,l3_entity_id,name,expected_payment_progression
abc0001,Completed,2022-05-20T08:23:51.406303,2022-05-20T08:23:51.406303,2022-05-20T08:23:51.406303,0.00,0.00,0.00,0.00,1943-01-01,0,5121,Cash Sales IPP,1.0
abc0002,Active,2022-05-25T13:28:49.873746,,2022-08-31T18:34:01.654276,5131.00,6164.16,8171.86,2000.00,1937-01-01,1,5073,Individual loan,0.7543154190110942
abc0003,Active,2022-05-31T10:02:23.158972,,2022-07-22T01:17:15.526819,3100.00,5273.52,6851.86,2000.00,1963-11-10,1,5072,Individual loan,0.7696479496078437
abc0004,Active,2022-07-05T11:49:03.801563,,2022-08-18T13:34:13.983433,4350.00,6142.35,10451.86,3000.00,,1,5084,Individual loan,0.5876800875633619
abc0005,Active,2022-05-31T06:31:25.977374,,2022-07-04T13:30:36.436593,3450.00,7743.68,10271.86,2500.00,1998-05-10,1,5074,Individual loan,0.7538732031005095
abc0006,Completed,2022-06-09T06:40:08.391773,2022-06-09T06:40:08.391773,2022-06-09T06:40:08.391773,0.00,0.00,0.00,0.00,1968-12-08,1,5072,Cash Sales,1.0
abc0007,Active,2022-06-06T08:22:24.559002,,2022-09-18T01:21:55.01029,6700.00,7088.22,10271.86,2500.00,1970-01-01,1,5084,Individual loan,0.6900619751437422
abc0008,Completed,2022-05-28T08:29:58.400869,2022-05-28T08:29:58.400869,2022-05-28T08:29:58.400869,0.00,0.00,0.00,0.00,,0,5084,Cash Sales,1.0
abc0009,Completed,2022-05-20T07:54:21.755012,2022-05-20T07:54:21.755012,2022-05-20T07:54:21.755012,0.00,0.00,0.00,0.00,1935-01-01,0,5087,Cash Sales,1.0
abc0010,Active,2022-06-09T12:33:59.617096,,2022-07-05T15:53:50.665023,2464.00,6821.15,10271.86,1848.00,1979-01-01,1,5084,Individual loan,0.6640618154842453
abc0011,Active,2022-06-09T12:37:39.688312,,2022-07-05T15:57:30.736239,2464.00,6821.15,10271.86,1848.00,1989-02-16,0,5084,Individual loan,0.6640618154842453
abc0012,Active,2022-08-27T06:42:26.829209,,2022-09-10T06:42:26.829209,1000.00,1230.39,3731.86,1000.00,1970-01-01T09:00:00,0,5087,Individual loan,0.32969886330141
abc0013,Active,2022-09-12T11:57:45.18464,,2022-10-06T18:07:14.636765,2050.00,1634.00,8366.86,1634.00,1991-01-01T09:00:00,1,5073,Individual loan,0.19529429200440787
abc0014,Active,2022-06-20T10:19:40.106049,,2022-11-04T13:54:43.363205,11110.00,8531.82,13931.86,3000.00,1993-02-15,0,5076,Individual loan,0.6123963347320458
abc0015,Active,2022-07-21T08:01:33.811956,,2022-08-04T08:01:33.811956,2500.00,4453.92,8291.86,2500.00,1996-12-25T09:00:00,1,5081,Individual loan,0.5371436565499176
abc0016,Active,2022-06-09T06:16:19.175265,,2022-07-22T05:36:00.922899,1600.00,2553.03,3491.86,1200.00,1992-01-01,0,5074,Individual loan,0.7311375599250829
abc0017,Active,2022-09-07T08:39:29.074554,,2022-12-01T21:36:38.281788,4212.00,3414.13,5521.86,3220.00,1987-08-11T09:00:00,0,5087,Individual loan,0.6182934735759328
abc0018,Active,2022-05-27T09:02:30.744,,2022-10-06T18:10:01.282868,5460.00,5273.52,6851.86,2000.00,1986-12-31,0,5083,Individual loan,0.7696479496078437
abc0019,Active,2022-05-27T09:20:18.265089,,2022-07-22T09:59:42.042062,1722.00,2924.08,3851.86,1000.00,1977-12-06,1,5121,Individual Loan IPP,0.75913454798461
abc0020,Completed,2022-08-01T13:09:03.251239,2022-08-01T13:09:03.251239,2022-08-01T13:09:03.251239,0.00,0.00,0.00,0.00,1970-12-20T09:00:00,0,5078,Cash Sales,1.0
